fonte,ano_mes,n_eventos
NEPAC,2011-01,6
NEPAC,2011-02,4
NEPAC,2011-03,12
NEPAC,2011-04,11
NEPAC,2011-05,11
NEPAC,2011-06,14
NEPAC,2011-07,5
NEPAC,2011-08,10
NEPAC,2011-09,10
NEPAC,2011-10,11
NEPAC,2011-11,11
NEPAC,2011-12,3
NEPAC,2012-01,11
NEPAC,2012-02,13
NEPAC,2012-03,30
NEPAC,2012-04,22
NEPAC,2012-05,39
NEPAC,2012-06,29
NEPAC,2012-07,24
NEPAC,2012-08,29
NEPAC,2012-09,11
NEPAC,2012-10,17
NEPAC,2012-11,19
NEPAC,2012-12,16
NEPAC,2013-01,18
NEPAC,2013-02,12
NEPAC,2013-03,18
NEPAC,2013-04,17
NEPAC,2013-05,23
NEPAC,2013-06,79
NEPAC,2013-07,85
NEPAC,2013-08,63
NEPAC,2013-09,39
NEPAC,2013-10,41
NEPAC,2013-11,22
NEPAC,2013-12,28
NEPAC,2014-01,7
NEPAC,2014-02,6
NEPAC,2014-03,11
NEPAC,2014-04,15
NEPAC,2014-05,40
NEPAC,2014-06,26
NEPAC,2014-07,7
NEPAC,2014-08,2
NEPAC,2014-09,10
NEPAC,2014-10,7
NEPAC,2014-11,7
NEPAC,2014-12,9
NEPAC,2015-01,7
NEPAC,2015-02,11
NEPAC,2015-03,18
NEPAC,2015-04,10
NEPAC,2015-05,17
NEPAC,2015-06,9
NEPAC,2015-07,6
NEPAC,2015-08,16
NEPAC,2015-09,13
NEPAC,2015-10,18
NEPAC,2015-11,14
NEPAC,2015-12,13
NEPAC,2016-01,7
NEPAC,2016-02,11
NEPAC,2016-03,35
NEPAC,2016-04,27
NEPAC,2016-05,43
NEPAC,2016-06,14
NEPAC,2016-07,16
NEPAC,2016-08,19
MassMobilization,1990-05,1
MassMobilization,1990-06,3
MassMobilization,1990-09,1
MassMobilization,1991-02,1
MassMobilization,1991-05,1
MassMobilization,1991-06,1
MassMobilization,1991-09,2
MassMobilization,1991-10,1
MassMobilization,1991-11,1
MassMobilization,1992-08,1
MassMobilization,1992-09,3
MassMobilization,1993-01,1
MassMobilization,1993-03,1
MassMobilization,1993-11,1
MassMobilization,1994-03,1
MassMobilization,1994-12,1
MassMobilization,1995-03,1
MassMobilization,1995-05,3
MassMobilization,1995-08,1
MassMobilization,1995-11,1
MassMobilization,1996-04,2
MassMobilization,1996-06,1
MassMobilization,1996-11,1
MassMobilization,1997-02,1
MassMobilization,1997-04,4
MassMobilization,1997-05,1
MassMobilization,1997-07,2
MassMobilization,1998-02,1
MassMobilization,1998-03,2
MassMobilization,1998-04,1
MassMobilization,1998-05,3
MassMobilization,1998-07,1
MassMobilization,1998-10,1
MassMobilization,1998-11,1
MassMobilization,1998-12,1
MassMobilization,1999-03,1
MassMobilization,1999-04,1
MassMobilization,1999-05,1
MassMobilization,1999-07,1
MassMobilization,1999-08,3
MassMobilization,1999-10,1
MassMobilization,1999-12,2
MassMobilization,2000-04,2
MassMobilization,2000-05,2
MassMobilization,2000-07,1
MassMobilization,2000-09,2
MassMobilization,2000-10,2
MassMobilization,2001-01,1
MassMobilization,2001-02,1
MassMobilization,2001-03,1
MassMobilization,2001-04,1
MassMobilization,2001-05,1
MassMobilization,2001-07,1
MassMobilization,2001-10,1
MassMobilization,2001-11,1
MassMobilization,2002-03,3
MassMobilization,2002-06,1
MassMobilization,2003-06,3
MassMobilization,2003-07,2
MassMobilization,2003-08,1
MassMobilization,2003-09,1
MassMobilization,2003-11,1
MassMobilization,2004-01,1
MassMobilization,2004-04,1
MassMobilization,2004-05,1
MassMobilization,2005-05,2
MassMobilization,2005-09,1
MassMobilization,2005-12,1
MassMobilization,2006-03,1
MassMobilization,2006-06,2
MassMobilization,2006-08,1
MassMobilization,2007-03,1
MassMobilization,2007-04,3
MassMobilization,2007-05,2
MassMobilization,2007-06,2
MassMobilization,2007-07,1
MassMobilization,2008-03,1
MassMobilization,2008-04,2
MassMobilization,2008-06,1
MassMobilization,2008-10,1
MassMobilization,2009-07,1
MassMobilization,2009-11,1
MassMobilization,2009-12,1
MassMobilization,2010-03,1
MassMobilization,2010-04,1
MassMobilization,2010-05,2
MassMobilization,2010-07,1
MassMobilization,2011-09,1
MassMobilization,2011-10,1
MassMobilization,2011-11,1
MassMobilization,2012-02,1
MassMobilization,2012-05,1
MassMobilization,2012-11,1
MassMobilization,2013-03,1
MassMobilization,2013-06,15
MassMobilization,2013-07,3
MassMobilization,2013-08,1
MassMobilization,2013-09,1
MassMobilization,2013-10,2
MassMobilization,2014-04,2
MassMobilization,2014-05,4
MassMobilization,2014-06,1
MassMobilization,2014-07,1
MassMobilization,2014-08,1
MassMobilization,2015-01,1
MassMobilization,2015-03,6
MassMobilization,2015-04,7
MassMobilization,2015-05,4
MassMobilization,2015-06,1
MassMobilization,2015-08,1
MassMobilization,2015-10,1
MassMobilization,2015-11,1
MassMobilization,2015-12,1
MassMobilization,2016-01,2
MassMobilization,2016-03,3
MassMobilization,2016-04,2
MassMobilization,2016-05,5
MassMobilization,2016-07,3
MassMobilization,2016-08,3
MassMobilization,2016-09,1
MassMobilization,2016-11,1
MassMobilization,2016-12,3
MassMobilization,2017-02,1
MassMobilization,2017-03,1
MassMobilization,2017-04,3
MassMobilization,2017-05,2
MassMobilization,2017-06,1
MassMobilization,2018-03,1
MassMobilization,2018-04,1
MassMobilization,2018-05,1
MassMobilization,2018-08,1
MassMobilization,2018-09,2
MassMobilization,2019-05,1
MassMobilization,2019-08,2
MassMobilization,2020-03,1
Seed_DiretasJa,1983-11,1
Seed_DiretasJa,1984-01,15
Seed_DiretasJa,1984-02,17
Seed_DiretasJa,1984-03,12
Seed_DiretasJa,1984-04,11
Seed_DiretasJa,1984-06,3
Seed_ForaCollor,1992-03,1
Seed_ForaCollor,1992-04,1
Seed_ForaCollor,1992-05,1
Seed_ForaCollor,1992-06,1
Seed_ForaCollor,1992-07,2
Seed_ForaCollor,1992-08,6
Seed_ForaCollor,1992-09,3
